name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries,is_pro,activity_score
Leandro Paredes,523,,,65.2,59.1,,0.17,2.41,1.55,,5.69,1,66.34
Christian Gytkjær,413,,,15.9,10.9,,1.09,1.3,0.43,,1.52,0,12.85
Mircea Alexandru Tirlea,15,,,70.0,50.0,,0.0,0.0,0.0,,20.0,1,70.0
Ezequiel Ponce,680,,,22.8,17.1,,0.92,0.79,0.53,,3.42,0,21.05
Pedro Ortiz,1,,,1.0,1.0,,0.0,0.0,0.0,,1.0,0,2.0
Julian Brandt,1495,,,51.4,38.9,,0.66,1.08,0.72,,5.3,1,44.92
Elif Elmas,824,,,46.5,38.5,,0.76,1.2,0.54,,3.8,1,42.84
Amine Gouiri,2754,,,34.3,26.7,,1.05,0.95,0.49,,4.77,0,31.96
Bernd Leno,360,,,27.8,18.0,,0.0,0.0,0.0,,4.0,0,22.0
Erik Botheim,335,,,23.0,14.6,,0.27,1.08,0.81,,2.97,0,18.38
Ike Ugbo,814,,,14.9,12.1,,0.67,0.22,0.11,,4.56,0,16.77
Dan Burn,1854,,,50.3,39.9,,0.15,1.21,0.83,,4.47,1,45.2
Remi Oudin,312,,,47.4,27.1,,1.14,3.14,1.43,,8.29,0,36.82
Jamie Bynoe-Gittens,285,,,26.9,21.3,,2.5,1.56,0.94,,2.5,0,24.74
Francis Coquelin,713,,,37.5,32.0,,0.13,2.28,1.65,,4.43,0,38.08
Eric Maxim Choupo-Moting,377,,,32.9,24.0,,1.9,3.1,2.14,,6.9,0,33.04
Idrissa Gana Gueye,1221,,,48.8,41.8,,0.07,2.43,1.54,,9.34,1,52.68
Diego Lainez,140,,,34.4,28.1,,0.63,1.25,1.25,,8.13,0,37.48
Erik Palmer-Brown,1734,,,33.8,28.1,,0.0,2.07,1.35,,7.31,0,36.76
Mattia Destro,456,,,11.6,6.47,,1.18,0.2,0.2,,1.18,0,7.85
Emil Forsberg,1706,,,40.7,33.5,,0.58,1.05,0.79,,5.37,1,39.66
Magnus Warming,58,,,35.0,18.3,,0.0,5.0,1.67,,13.3,0,33.27
Nathan Young-Coombes,4,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0,0.0
Jack Butland,765,,,32.8,24.1,,0.0,0.0,0.0,,3.29,0,27.39
Jordan Ayew,2019,,,33.3,25.4,,0.36,2.32,1.52,,6.96,0,33.88
Mads Bech Sørensen,21,,,55.0,35.0,,0.0,0.0,0.0,,0.0,0,35.0
Michael Gregoritsch,1445,,,21.8,12.1,,1.74,0.81,0.43,,2.73,0,15.26
Hugo Álvarez,11,,,30.0,10.0,,0.0,0.0,0.0,,0.0,0,10.0
Jonathan Clauss,1432,,,50.0,37.4,,0.44,1.57,0.94,,4.84,1,43.18
Arnaut Groeneveld,1472,,,23.4,17.5,,1.52,0.43,0.18,,4.09,0,21.77
Nassim Chadli,96,,,39.1,24.5,,0.0,2.73,2.73,,10.0,0,37.23
Marc-André ter Stegen,3150,,,36.6,31.8,,0.0,0.0,0.0,,3.69,0,35.49
Kenny Tete,1416,,,54.2,39.7,,0.19,3.12,1.78,,3.95,1,45.43
Luis Abram,560,,,35.5,31.3,,0.0,1.13,0.97,,4.03,0,36.3
